State,Trips
Australian Capital Territory,37,796.22
New South Wales,524,813.12
Northern Territory,116,959.01
Queensland,361,533.03
South Australia,110,777.95
Victoria,"365,857.93"
Western Australia,134,074.55
Tasmania,0.00
